Year,ActionGeo_CountryCode,goldstein_score,tone
2022,GI,1.54,-0.41
2022,TE,3.1,-0.99
2022,IS,-0.37,-3.01
2022,JM,0.53,-1.42
2022,OS,0.59,-2.39
2022,MZ,0.68,-2.47
2022,MV,1.92,0.24
2022,NZ,1.19,-1.01
2022,DA,1.39,-0.81
2022,TZ,1.75,-0.16
2022,SA,1.4,-0.42
2022,BU,1.27,-1.16
2022,NL,1.18,-1.13
2022,RB,0.14,-2.67
2022,GP,0.77,-1.63
2022,CE,0.82,-2.72
2022,ZI,0.68,-1.76
2022,LA,2.19,1.5
2022,RS,-0.19,-3.46
2022,BT,2.22,0.8
2022,AL,0.92,-2.52
2022,MR,1.93,-1.1
2022,WZ,-0.11,-2.78
2022,EI,1.07,-0.91
2022,MY,1.25,-0.9
2022,HQ,2.81,-0.73
2022,BV,-2,1.98
2022,AS,1.01,-1.26
2022,MF,0.84,-2.79
2022,WS,1.78,-0.08
2022,CY,1.43,-1.19
2022,VQ,1.28,-0.96
2022,VE,0.99,-2.59
2022,SL,0.93,-1.13
2022,BB,1.36,-0.32
2022,TO,0.81,-1.73
2022,TV,2.09,-0.49
2022,US,0.48,-2.09
2022,LE,0.8,-2.39
2022,MP,2.03,0.84
2022,TW,1,-1.54
2022,IN,0.54,-1.75
2022,GM,1.07,-1.92
2022,KR,1.73,-0.7
2022,SW,1.43,-1.44
2022,MJ,0.56,-2.15
2022,HA,-0.23,-3.75
2022,OD,0.57,-2.34
2022,SE,2.29,1.71
2022,CV,1.9,-0.37
2022,FJ,1.55,-0.19
2022,AY,1.55,-0.38
2022,ER,0.27,-2.71
2022,IT,1.21,-0.85
2022,SG,1.5,-1.08
2022,MT,0.7,-1.88
2022,WI,1.09,-1.47
2022,IM,1.9,0.77
2022,AJ,1.24,-0.81
2022,PS,2.15,0.48
2022,QA,2.21,0.21
2022,BM,-2.07,-4.37
2022,CF,0.24,-3.26
2022,IO,1.32,-1.93
2022,NI,0.31,-1.61
2022,LO,1.16,-1.49
2022,BA,2.26,0.7
2022,MB,1.57,0.52
2022,JN,0.88,0.39
2022,FG,1.92,0.04
